skn,name,lat,lng,island
934.1,LAWAI 1.8 S,21.8989,-159.5026,KA
934,EAST LAWAI 934,21.90519794,-159.4938722,KA
933,Manuhonuhonu,21.89853103,-159.4822059,KA
931,WEST LAWAI 931,21.89019743,-159.5172067,KA
930.1,Kalaheo-Mcbryde,21.91492123,-159.5435949,KA
930,WAHIAWA 930,21.89631087,-159.5572079,KA
928.2,Kukuiolono,21.90853209,-159.5372061,KA
928,Kalaheo Fld K-1,21.91353183,-159.5305389,KA
927,ELEELE 927,21.90353436,-159.5772088,KA
926,PORT ALLEN CAA AIRPORT,21.89381249,-159.6010997,KA
925,Field 130,21.90520151,-159.6138778,KA
916,Honouliuli,21.41435556,-158.0979028,OA
915.8,Sim5,21.5818243,-157.9422499,OA
915.7,Sim4,21.564478,-157.931177,OA
915.6,Sim3,21.529422,-157.921419,OA
915.5,Sim2,21.512936,-157.915002,OA
915.4,Sim1,21.500631,-157.904672,OA
915.3,Veg3,21.32231,-157.730564,OA
915.2,Veg2,21.421652,-158.081683,OA
915.1,Veg1,21.381569,-158.101818,OA
914,USGS9UPLANDRAINGAGENEARKAHUKU,21.66683333,-157.9853,OA
913,Field P,21.66987534,-157.9666918,OA
912,KAUHUKU 912,21.695,-157.9811,OA
911.1,KII,21.68833333,-157.9525,OA
911,Pump 5,21.68348509,-157.9672471,OA
910,Pump 10,21.68515223,-157.9805803,OA
909,KAHUKU TRAINING AREA,21.67916667,-157.9894444,OA
908,Pump 4,21.69181863,-158.00058,OA
907.1,Camp Kahuku,21.67015338,-157.9805806,OA
907,KAHUKU PUMP 2 907,21.69515149,-157.9822467,OA
906.4,Field R,21.68515238,-157.9880803,OA
906.3,Kawela Mauka,21.66459852,-158.000303,OA
906.2,Kawela 2,21.68348609,-158.0072468,OA
906.1,Camp 22,21.68293025,-157.9839137,OA
906,Field S,21.68348604,-157.9989137,OA
905.22,Punaluu Pump,21.5842991,-157.8916,OA
905.2,PUNALULU PUMP 905.2,21.5843,-157.8915,OA
905.1,Kapaka Makai,21.60182117,-157.898083,OA
905,Papaakoko,21.58626687,-157.8944724,OA
904.1,KAPAKA FARM 904.1,21.60987636,-157.9100271,OA
904,Hauula,21.60348798,-157.9055829,OA
903.4,Laie HI US C5306-CW5306,21.65,-157.929,OA
903.3,LAIE 0.3 WNW,21.6506,-157.9303,OA
903.2,LAIE 0.2 WNW,21.65,-157.9287,OA
903.1,B Y U LAIE 903.1,21.64515375,-157.9291927,OA
903,Laie,21.64626516,-157.9339149,OA
902,Field 28,21.65515379,-157.9439147,OA
901.2,KII KAHUKU 911,21.6793,-157.945,OA
901.1,Malaekahana,21.66320708,-157.9339145,OA
901,Malaekahana,21.66181992,-157.9455811,OA
900,Malaekahana-CPC,21.66182024,-157.955581,OA
899.4,Laie Dry Land,21.65126564,-157.9483591,OA
899.3,Malaekahana Str,21.63459959,-157.9622483,OA
899.2,Pineapple Field,21.6601538,-157.9639144,OA
899.1,Dry Land Malaek,21.64515497,-157.9522481,OA
899,Pupukea 2,21.62682208,-157.9789151,OA
898.3,Kaiwikoele Str,21.61210144,-158.0203043,OA
898.2,Waimea,21.61015665,-158.0022488,OA
898.1,Anahulu,21.59182388,-157.9705828,OA
